Date,Open,High,Low,Close,Adj Close,Volume,Returns,MA5,MA20,Volatility,MA_20,MA_50,MA_200,BB_middle,BB_upper,BB_lower,RSI
2024-01-02,187.1499938964844,188.44000244140625,183.88999938964844,185.63999938964844,184.9382171630859,82488700,-0.7487607165581278,183.70799865722657,187.89049835205077,1.336629017422608,,,,,,,
2024-01-03,184.22000122070312,185.8800048828125,183.42999267578125,184.25,183.553466796875,58414500,-0.7487607165581278,183.70799865722657,187.89049835205077,1.336629017422608,,,,,,,
2024-01-04,182.1499938964844,183.08999633789065,180.8800048828125,181.91000366210935,181.2223358154297,71983600,-1.2700115809447188,183.70799865722657,187.89049835205077,1.336629017422608,,,,,,,
2024-01-05,181.9900054931641,182.7599945068359,180.1699981689453,181.17999267578125,180.4950714111328,62303300,-0.4013033761925855,183.70799865722657,187.89049835205077,1.336629017422608,,,,,,,
2024-01-08,182.08999633789065,185.6000061035156,181.5,185.55999755859375,184.8585205078125,59144500,2.4174881663950876,183.70799865722657,187.89049835205077,1.336629017422608,,,,,,,
2024-01-09,183.9199981689453,185.1499938964844,182.72999572753903,185.13999938964844,184.4401092529297,42841800,-0.2263409002323801,183.60799865722657,187.89049835205077,1.336629017422608,,,,,,,
2024-01-10,184.3500061035156,186.3999938964844,183.9199981689453,186.19000244140625,185.4861297607422,46792900,0.5671400319862574,183.99599914550785,187.89049835205077,1.336629017422608,,,,,,,
2024-01-11,186.5399932861328,187.0500030517578,183.6199951171875,185.58999633789065,184.8884124755859,49128400,-0.3222547374445716,184.73199768066405,187.89049835205077,1.336629017422608,,,,,,,
2024-01-12,186.05999755859375,186.7400054931641,185.19000244140625,185.9199981689453,185.2171630859375,40444700,0.1778122946098026,185.67999877929688,187.89049835205077,1.336629017422608,,,,,,,
2024-01-16,182.16000366210935,184.2599945068359,180.92999267578125,183.6300048828125,182.93582153320312,65603000,-1.2317089655153213,185.29400024414065,187.89049835205077,1.336629017422608,,,,,,,
