Date,Open,High,Low,Close,Adj Close,Volume,Returns,MA5,MA20,Volatility,EMA12,EMA26,MACD,Signal_Line,RSI,Upper_Band,Lower_Band
2020-01-31,80.23249816894531,80.66999816894531,77.07250213623047,77.37750244140625,75.0161361694336,199588400,-4.433873334381144,79.21800079345704,78.12362518310547,1.7679103753889678,78.90926628225886,77.90632133774525,1.002944944513601,1.0347561075816898,49.368860133542604,82.0894223734831,74.15782799272785
2020-02-03,76.07499694824219,78.37249755859375,75.55500030517578,77.16500091552734,74.81014251708984,173788400,-0.27462960056099384,79.20350036621093,78.26400032043458,1.7510888988250868,78.64091776430016,77.85140871387726,0.7895090504228932,0.9857066961499306,42.98750522119832,81.8489687678692,74.67903187299996
2020-02-04,78.82749938964844,79.91000366210938,78.40750122070312,79.7125015258789,77.27987670898438,136616400,3.301367951955725,79.26150054931641,78.5021255493164,1.880757243220139,78.80577680454304,77.98926744069219,0.8165093638508552,0.9518672296901155,54.739601916479636,81.77975174591226,75.22449935272054
2020-02-05,80.87999725341797,81.19000244140625,79.73750305175781,80.36250305175781,77.9100341796875,118826800,0.8154323518098083,79.11700134277343,78.79037551879883,1.8740897392598495,79.04527315026839,78.1650626711415,0.8802104791268874,0.93753587957747,57.618700029482696,81.60318945068853,75.97756158690912
2020-02-06,80.64250183105469,81.30500030517578,80.06500244140625,81.30249786376953,78.82135772705078,105425600,1.1696932976394514,79.18400115966797,79.06562538146973,1.8615923176650546,79.39253849080703,78.39746527800283,0.9950732128042006,0.9490433462228162,57.52907605151069,81.71812526464993,76.41312549828953
2020-02-07,80.59249877929688,80.8499984741211,79.5,80.00749969482422,77.74995422363281,117684000,-1.5928147387491265,79.71000061035156,79.19562530517578,1.8625573541808882,79.48714790680967,78.51672708665626,0.9704208201534072,0.9533188410089344,50.9572816598695,81.75932292796307,76.6319276823885
2020-02-10,78.54499816894531,80.38749694824219,78.4625015258789,80.38749694824219,78.11923217773438,109348800,0.47495204183034545,80.35449981689453,79.33587532043457,1.8636990818862944,79.62566314395313,78.65530263195892,0.9703605119942154,0.9567271752059906,53.702040042214655,81.83406682325288,76.83768381761625
2020-02-11,80.9000015258789,80.9749984741211,79.67749786376953,79.90249633789062,77.64791870117188,94323200,-0.6033284139495332,80.39249877929687,79.36900024414062,1.813448783193617,79.66825286609736,78.74768735091682,0.9205655151805416,0.9494948432009009,51.40294891406294,81.87937808975819,76.85862239852305
2020-02-12,80.36750030517578,81.80500030517578,80.36750030517578,81.80000305175781,79.49188232421875,113730400,2.3747777614394394,80.67999877929688,79.55050048828124,1.8521453995195138,79.99621443312205,78.97378481023837,1.0224296228836778,0.9640817991374563,55.37569403534079,82.21598384757745,76.88501712898504
2020-02-13,81.04750061035156,81.55500030517578,80.8375015258789,81.21749877929688,78.9258041381836,94747600,-0.7121078859769314,80.66299896240234,79.71962547302246,1.8586353581782717,80.18410433253356,79.13998584498344,1.0441184875501222,0.9800891368199895,54.342070073292305,82.35587801005337,77.08337293599155
